theta_z_deg,open_step,align_deg,tilt_deg,cost,t_flight,release_x,release_y,release_z,vel_x,vel_y,vel_z,land_x,land_y,land_z
25.0,0.05171428571428571,44.950704973809394,60,1.2235301096076585,0.546512268475142,-0.020528893943908395,0.339846138508886,1.4750251184637189,-0.016412479996356366,-0.0018772574039260803,-0.018336291303882035,-0.029498515618020003,0.33882019430655463,0.0
-5.0,0.03514285714285714,44.950704973809394,75,1.2236105852904073,0.12115650656307651,0.40216888937901085,-0.06762391674615825,0.072,0.0,0.0,0.0,0.40216888937901085,-0.06762391674615825,0.0
35.0,0.03514285714285714,44.950704973809394,90,1.2310190551233768,0.12115650656307651,0.33590930854338064,-0.036528565741205596,0.072,0.0,0.0,0.0,0.33590930854338064,-0.036528565741205596,0.0
35.0,0.03514285714285714,44.950704973809394,75,1.2339630825403292,0.12115650656307651,0.33716317145762387,-0.04082286091357342,0.072,0.0,0.0,0.0,0.33716317145762387,-0.04082286091357342,0.0
-5.0,0.03514285714285714,44.950704973809394,60,1.2357236957090567,0.12115650656307651,0.38412353685793466,-0.07131192203039996,0.072,0.0,0.0,0.0,0.38412353685793466,-0.07131192203039996,0.0
35.0,0.03514285714285714,44.950704973809394,60,1.243368926269319,0.12115650656307651,0.3279436192721892,-0.04609106101484056,0.072,0.0,0.0,0.0,0.3279436192721892,-0.04609106101484056,0.0
-45.0,0.026857142857142857,44.950704973809394,75,1.2445356520990796,0.12115650656307651,0.21099913242555585,0.037530976959541135,0.072,0.0,0.0,0.0,0.21099913242555585,0.037530976959541135,0.0
-5.0,0.002,44.950704973809394,90,1.2493586670128765,0.12115650656307651,0.2506830469803579,0.0002894505120238784,0.072,0.0,0.0,0.0,0.2506830469803579,0.0002894505120238784,0.0
-45.0,0.03514285714285714,44.950704973809394,90,1.250621236866723,0.12115650656307651,0.3974742129506627,-0.09590882560668733,0.072,0.0,0.0,0.0,0.3974742129506627,-0.09590882560668733,0.0
-45.0,0.03514285714285714,44.950704973809394,75,1.2513366673233608,0.12115650656307651,0.3968470368055864,-0.0963803892708651,0.072,0.0,0.0,0.0,0.3968470368055864,-0.0963803892708651,0.0
-45.0,0.03514285714285714,44.950704973809394,60,1.2524685786136285,0.12115650656307651,0.39485806994033423,-0.09657684860574424,0.072,0.0,0.0,0.0,0.39485806994033423,-0.09657684860574424,0.0
45.0,0.03514285714285714,44.950704973809394,60,1.2657591015977998,0.12115650656307651,0.599120801495351,-0.20060067111589583,0.072,0.0,0.0,0.0,0.599120801495351,-0.20060067111589583,0.0
-35.0,0.031,44.950704973809394,75,1.2692798707453516,0.12115650656307651,0.10515363420738422,0.09982147775728158,0.072,0.0,0.0,0.0,0.10515363420738422,0.09982147775728158,0.0
-15.0,0.018571428571428572,44.950704973809394,90,1.269351409810034,0.12115650656307651,0.22503860656559962,-0.005329717193783823,0.072,0.0,0.0,0.0,0.22503860656559962,-0.005329717193783823,0.0
-35.0,0.031,44.950704973809394,90,1.2818029273659737,0.12115650656307651,0.08661769165291947,0.100693876701299,0.072,0.0,0.0,0.0,0.08661769165291947,0.100693876701299,0.0
35.0,0.031,44.950704973809394,90,1.2848749758190046,0.12115650656307651,0.41530287358978,-0.14412978890225497,0.072,0.0,0.0,0.0,0.41530287358978,-0.14412978890225497,0.0
45.0,0.03514285714285714,44.950704973809394,75,1.29166325684533,0.12115650656307651,0.24722855331126506,-0.049632849207014024,0.072,0.0,0.0,0.0,0.24722855331126506,-0.049632849207014024,0.0
-45.0,0.010285714285714285,44.950704973809394,90,1.291666285858061,0.12115650656307651,0.16354216050128156,0.015754056770618863,0.072,0.0,0.0,0.0,0.16354216050128156,0.015754056770618863,0.0
-25.0,0.031,44.950704973809394,90,1.2925550263219867,0.12115650656307651,0.08413369984939323,0.08792137602141428,0.072,0.0,0.0,0.0,0.08413369984939323,0.08792137602141428,0.0
15.0,0.04757142857142857,44.950704973809394,75,1.29372569534311,0.12115650656307651,0.7138429400646281,-0.2616815413725278,0.072,0.0,0.0,0.0,0.7138429400646281,-0.2616815413725278,0.0
25.0,0.026857142857142857,44.950704973809394,60,1.2988002168557868,0.38632078613727466,0.06516452768255977,0.08714730228964425,0.732423764895872,0.0016405658836027293,0.0273102710905071,-0.0009918496031691149,0.06579831238442317,0.09769782768695104,0.0
5.0,0.031,44.950704973809394,75,1.298868224053157,0.41465661547033916,0.06879946805322108,0.09410687233091715,0.8451579552961954,0.00030194091220292485,0.0006456239853536161,-0.0043209773926911055,0.06892466984994718,0.09437458458755035,0.0
25.0,0.026857142857142857,44.950704973809394,75,1.2991345261793146,0.38804748124008026,0.061056374546537874,0.10102559783462858,0.741027228120519,-0.0008070094840884057,0.0037407341942818917,-0.006257404790002141,0.06074321654890051,0.10247718031670831,0.0
-45.0,0.031,44.950704973809394,60,1.3042465729598414,0.12115650656307651,0.2203681389045428,-0.045577966601402814,0.072,0.0,0.0,0.0,0.2203681389045428,-0.045577966601402814,0.0
15.0,0.031,44.950704973809394,90,1.3046776362635693,0.12115650656307651,0.10193151936282457,0.05360857006610144,0.072,0.0,0.0,0.0,0.10193151936282457,0.05360857006610144,0.0
45.0,0.022714285714285715,44.950704973809394,90,1.3094317375812945,0.35848283962454564,0.09110098969010565,0.05825616034671771,0.6239680183855674,-0.0032111736033435534,0.0006832655857552661,0.017778447215199833,0.08994983905825167,0.058501099334116985,0.0
-35.0,0.022714285714285715,44.950704973809394,90,1.31085162734283,0.12115650656307651,0.12233957992242436,0.026324399023679355,0.072,0.0,0.0,0.0,0.12233957992242436,0.026324399023679355,0.0
5.0,0.026857142857142857,44.950704973809394,75,1.3116481054903835,0.38324120841175785,0.054358889274162686,0.09101136469388052,0.716506023460138,0.0035574450584030526,-0.0035854294235482254,0.010202666924108428,0.05572224881720351,0.08963728038892482,0.0
-45.0,0.031,44.950704973809394,90,1.3170033118644708,0.12115650656307651,0.2075077181456142,-0.05188103256176886,0.072,0.0,0.0,0.0,0.2075077181456142,-0.05188103256176886,0.0
35.0,0.014428571428571428,44.950704973809394,90,1.3178725424511133,0.3192509070116138,0.08969071582172965,0.018441961294835135,0.5120343792116288,0.03282863530614133,0.05857344146700638,-0.03793624156291919,0.10017128741916875,0.037141585609968594,0.0
-45.0,0.031,44.950704973809394,75,1.3260505616801423,0.12115650656307651,0.19777752362992868,-0.05586419133281101,0.072,0.0,0.0,0.0,0.19777752362992868,-0.05586419133281101,0.0
35.0,0.022714285714285715,44.950704973809394,90,1.32628210380367,0.35801676762089085,0.0820091779815107,0.04320428826387429,0.6334015938354564,0.0005617783360400974,-0.0017922216879373565,-0.01312308621298719,0.08221030404549921,0.0425626428482989,0.0
45.0,0.039285714285714285,44.950704973809394,75,1.3302327236804214,0.12115650656307651,0.44503963978945416,-0.20894089919450315,0.072,0.0,0.0,0.0,0.44503963978945416,-0.20894089919450315,0.0
5.0,0.026857142857142857,44.950704973809394,60,1.331229809234686,0.3791936871065874,0.023051778670875784,0.09617184583681307,0.707040906193818,0.0026013674817923493,-0.0040319414087941485,-0.004645358081400985,0.024038200797815802,0.09464295910781469,0.0
35.0,0.026857142857142857,44.950704973809394,60,1.3317008109137543,0.38323253048978567,0.07482499992559924,0.04224849453041371,0.7213972256263597,-0.0006334674383745575,0.00035276013566232223,-0.00264524746235395,0.07458223459620808,0.0423836836898595,0.0
25.0,0.014428571428571428,44.950704973809394,90,1.3323482510556277,0.3209559445923811,0.08896262981047447,0.02403914878571034,0.5105597367556285,-0.004840631589154709,0.01627718740882328,-0.01645818762282758,0.0874090003263536,0.02926340884581643,0.0
35.0,0.022714285714285715,44.950704973809394,75,1.3331816936848389,0.359792539551713,0.08066567549956818,0.03750311846674884,0.6314688849923615,0.004170028885976951,-0.012322166540084112,0.009690747904933517,0.08216602078245783,0.033069694874512834,0.0
15.0,0.022714285714285715,44.950704973809394,60,1.3331974955241703,0.3570492229529865,0.026704839334352436,0.09332412516255564,0.6319498826276084,-0.008362579020954608,-0.0034416149711313793,-0.018597263814523757,0.023718986993037646,0.09209529921140983,0.0
25.0,0.018571428571428572,44.950704973809394,75,1.3336282678676539,0.3423340657339007,0.07931626756851531,0.02840700114860035,0.5717299934860498,0.003419469174155143,0.016483055851236605,0.009054813529694172,0.08048686835355559,0.034049712673873134,0.0
35.0,0.006142857142857143,44.950704973809394,75,1.334527993004766,0.2941891703084639,0.03990440326249915,0.07210658685101662,0.4242175180760889,0.0035416509923630324,-0.00035681349434102394,0.0010089803933555075,0.04094631862946458,0.07200161618516157,0.0
-5.0,0.031,44.950704973809394,60,1.3368832154135384,0.4086245133987659,0.036111014357826814,0.07409505467618732,0.8189880450209047,5.73335940373676e-05,-0.0012154222520033287,4.745285724361281e-05,0.03613444226979173,0.07359840334988843,0.0
25.0,0.022714285714285715,44.950704973809394,90,1.337765143278339,0.3626791732741134,0.07996157399361346,0.025009002464882565,0.6450177892718479,0.0027986582000072424,0.007924228929541977,0.0004609776777897423,0.0809765890358689,0.02788295526188366,0.0
45.0,0.031,44.950704973809394,90,1.33833015148469,0.408669448625494,0.07018305524303646,0.039363778510164996,0.8164187562555619,-0.0005994691936650476,-0.00418704633603606,0.006775198685122774,0.0699380704981934,0.03765266059264774,0.0
5.0,0.026857142857142857,44.950704973809394,90,1.3384869722338342,0.38301683435337014,0.019857429781582836,0.08911257237723251,0.7210351941890598,0.005434477148084371,-0.007480676731523861,-0.003818101791690509,0.021938926015207843,0.08624734725670333,0.0
